Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
1	128	256	1920	0.78373	1206	1204	2	65617920	34176	2449.82	0.408193	38.2785	1	
1	128	512	1920	3.04191	2340	2337	3	257064960	133888	631.183	1.58433	9.86224	1	
1	128	1024	1920	12.008	4734	4726	8	1017446400	529920	159.893	6.25419	2.49833	1	
1	128	2048	1920	48.2676	9544	9524	20	4048158720	2.10842e+06	39.7782	25.1394	0.621535	1	
2	1	1	1920	0.0249115	121	121	0	11520	6	77072.9	0.0129747	1204.26	2	
2	1	2	1920	0.0230433	290	284	6	24960	13	83321.4	0.0120017	1301.9	2	
2	1	4	1920	0.0242112	480	455	25	57600	30	79302	0.01261	1239.09	2	
2	1	8	1920	0.0226819	1130	950	180	145920	76	84649.1	0.0118135	1322.64	2	
2	1	16	1920	0.0246696	2958	2035	923	414720	216	77828.7	0.0128487	1216.07	2	
2	1	32	1920	0.0435708	9676	5410	4266	1320960	688	44066.2	0.0226931	688.534	2	
2	1	64	1920	0.111377	37478	14725	22753	4608000	2400	17238.7	0.058009	269.355	2	
2	1	128	1920	0.438872	157685	43930	113755	17080320	8896	4374.85	0.228579	68.357	2	
2	1	256	1920	1.38203	737207	165019	572188	65617920	34176	1389.26	0.719805	21.7073	2	
2	1	512	1920	2.13073	2984175	408195	2575980	257064960	133888	901.098	1.10976	14.0797	2	
2	1	1024	1920	7.98489	9320110	933840	8386270	1017446400	529920	240.454	4.1588	3.7571	2	
2	1	2048	1920	30.8805	29638353	2250675	27387678	4048158720	2.10842e+06	62.1751	16.0836	0.971486	2	
2	2	1	1920	0.0158357	72	72	0	11520	6	121245	0.00824776	1894.45	2	
2	2	2	1920	0.0181981	121	120	1	24960	13	105506	0.00947817	1648.53	2	
2	2	4	1920	0.021902	311	305	6	57600	30	87663.1	0.0114073	1369.74	2	
2	2	8	1920	0.0234015	654	628	26	145920	76	82046	0.0121883	1281.97	2	
2	2	16	1920	0.0275717	1251	1126	125	414720	216	69636.7	0.0143602	1088.07	2	
2	2	32	1920	0.0440118	3090	2495	595	1320960	688	43624.7	0.0229228	681.636	2	
2	2	64	1920	0.129247	8102	5882	2220	4608000	2400	14855.2	0.0673163	232.113	2	
2	2	128	1920	0.339597	25675	13619	12056	17080320	8896	5653.76	0.176874	88.3399	2	
2	2	256	1920	0.531144	112266	38705	73561	65617920	34176	3614.84	0.276637	56.4819	2	
2	2	512	1920	1.96577	486711	107807	378904	257064960	133888	976.718	1.02384	15.2612	2	
2	2	1024	1920	7.54023	1797502	275320	1522182	1017446400	529920	254.634	3.9272	3.97866	2	
2	2	2048	1920	29.6373	7335630	775304	6560326	4048158720	2.10842e+06	64.7832	15.4361	1.01224	2	
2	4	1	1920	0.0245958	37	37	0	11520	6	78062.1	0.0128103	1219.72	2	
2	4	2	1920	0.0236639	78	78	0	24960	13	81136.3	0.0123249	1267.75	2	
2	4	4	1920	0.0231779	218	218	0	57600	30	82837.4	0.0120718	1294.33	2	
2	4	8	1920	0.0245146	365	356	9	145920	76	78320.8	0.012768	1223.76	2	
2	4	16	1920	0.0268227	733	706	27	414720	216	71581.2	0.0139701	1118.46	2	
2	4	32	1920	0.0436372	1559	1472	87	1320960	688	43999.2	0.0227277	687.487	2	
2	4	64	1920	0.109633	3233	2948	285	4608000	2400	17512.9	0.0571007	273.639	2	
2	4	128	1920	0.435828	7585	6162	1423	17080320	8896	4405.41	0.226994	68.8345	2	
2	4	256	1920	1.31294	19215	13325	5890	65617920	34176	1462.36	0.683825	22.8494	2	
2	4	512	1920	2.00345	69935	35987	33948	257064960	133888	958.348	1.04346	14.9742	2	
2	4	1024	1920	7.64872	304583	100399	204184	1017446400	529920	251.022	3.98371	3.92223	2	
2	4	2048	1920	29.5658	1497590	288343	1209247	4048158720	2.10842e+06	64.94	15.3988	1.01469	2	
2	8	1	1920	0.0138761	20	20	0	11520	6	138368	0.00722712	2161.99	2	
2	8	2	1920	0.0211824	46	46	0	24960	13	90641.2	0.0110325	1416.27	2	
2	8	4	1920	0.024792	148	148	0	57600	30	77444.4	0.0129125	1210.07	2	
2	8	8	1920	0.0226267	243	241	2	145920	76	84855.4	0.0117848	1325.87	2	
2	8	16	1920	0.0257726	429	425	4	414720	216	74497.7	0.0134232	1164.03	2	
2	8	32	1920	0.0428152	930	910	20	1320960	688	44843.9	0.0222996	700.687	2	
2	8	64	1920	0.142355	1836	1770	66	4608000	2400	13487.4	0.0741435	210.74	2	
2	8	128	1920	0.411046	3864	3614	250	17080320	8896	4671.01	0.214086	72.9845	2	
2	8	256	1920	0.515509	8054	7221	833	65617920	34176	3724.47	0.268494	58.1949	2	
2	8	512	1920	1.97179	18545	14872	3673	257064960	133888	973.735	1.02697	15.2146	2	
2	8	1024	1920	7.28351	46835	32015	14820	1017446400	529920	263.609	3.7935	4.11889	2	
2	8	2048	1920	29.3793	150617	78554	72063	4048158720	2.10842e+06	65.3521	15.3017	1.02113	2	
2	16	1	1920	0.0272653	11	11	0	11520	6	70419.2	0.0142007	1100.3	2	
2	16	2	1920	0.0247848	27	27	0	24960	13	77466.7	0.0129088	1210.42	2	
2	16	4	1920	0.0206418	105	105	0	57600	30	93015.2	0.0107509	1453.36	2	
2	16	8	1920	0.023709	170	168	2	145920	76	80982	0.0123484	1265.34	2	
2	16	16	1920	0.0260155	284	282	2	414720	216	73802.1	0.0135498	1153.16	2	
2	16	32	1920	0.0444413	577	574	3	1320960	688	43203.1	0.0231465	675.048	2	
2	16	64	1920	0.0629057	1120	1111	9	4608000	2400	30521.9	0.0327634	476.904	2	
2	16	128	1920	0.401643	2191	2157	34	17080320	8896	4780.37	0.209189	74.6932	2	
2	16	256	1920	0.680559	4731	4581	150	65617920	34176	2821.21	0.354458	44.0814	2	
2	16	512	1920	2.1129	9933	9339	594	257064960	133888	908.702	1.10047	14.1985	2	
2	16	1024	1920	7.53315	20967	18687	2280	1017446400	529920	254.873	3.92352	3.9824	2	
2	16	2048	1920	29.2825	48395	38772	9623	4048158720	2.10842e+06	65.5683	15.2513	1.0245	2	
2	32	1	1920	0.0278638	6	6	0	11520	6	68906.7	0.0145124	1076.67	2	
2	32	2	1920	0.0268158	15	15	0	24960	13	71599.7	0.0139665	1118.75	2	
2	32	4	1920	0.0215237	69	69	0	57600	30	89203.9	0.0112103	1393.81	2	
2	32	8	1920	0.0222995	108	108	0	145920	76	86100.7	0.0116143	1345.32	2	
2	32	16	1920	0.0245005	178	178	0	414720	216	78365.7	0.0127607	1224.46	2	
2	32	32	1920	0.0454608	361	361	0	1320960	688	42234.2	0.0236775	659.91	2	
2	32	64	1920	0.107597	697	697	0	4608000	2400	17844.4	0.0560399	278.819	2	
2	32	128	1920	0.364822	1404	1399	5	17080320	8896	5262.84	0.190011	82.2319	2	
2	32	256	1920	0.60737	2935	2917	18	65617920	34176	3161.17	0.316339	49.3933	2	
2	32	512	1920	1.79336	5917	5830	87	257064960	133888	1070.61	0.934043	16.7284	2	
2	32	1024	1920	7.28419	12021	11699	322	1017446400	529920	263.585	3.79385	4.11851	2	
2	32	2048	1920	28.2588	25636	24152	1484	4048158720	2.10842e+06	67.9435	14.7181	1.06162	2	
2	64	1	1920	0.0147669	5	5	0	11520	6	130020	0.0076911	2031.57	2	
2	64	2	1920	0.0158241	10	10	0	24960	13	121334	0.00824173	1895.84	2	
2	64	4	1920	0.0238092	47	47	0	57600	30	80641.2	0.0124006	1260.02	2	
2	64	8	1920	0.0252174	72	72	0	145920	76	76137.8	0.0131341	1189.65	2	
2	64	16	1920	0.0233092	112	112	0	414720	216	82371	0.0121402	1287.05	2	
2	64	32	1920	0.0423089	233	233	0	1320960	688	45380.5	0.0220359	709.07	2	
2	64	64	1920	0.107481	444	444	0	4608000	2400	17863.6	0.0559797	279.119	2	
2	64	128	1920	0.409655	879	878	1	17080320	8896	4686.87	0.213362	73.2323	2	
2	64	256	1920	0.477389	1881	1877	4	65617920	34176	4021.88	0.24864	62.8418	2	
2	64	512	1920	1.97398	3642	3625	17	257064960	133888	972.657	1.02811	15.1978	2	
2	64	1024	1920	7.1824	7396	7342	54	1017446400	529920	267.32	3.74083	4.17688	2	
2	64	2048	1920	28.2172	15151	14957	194	4048158720	2.10842e+06	68.0436	14.6965	1.06318	2	
2	128	1	1920	0.0143948	2	2	0	11520	6	133381	0.00749729	2084.09	2	
2	128	2	1920	0.0229347	5	5	0	24960	13	83715.8	0.0119452	1308.06	2	
2	128	4	1920	0.024737	30	30	0	57600	30	77616.7	0.0128838	1212.76	2	
2	128	8	1920	0.0263204	45	45	0	145920	76	72947.2	0.0137085	1139.8	2	
2	128	16	1920	0.0256283	71	71	0	414720	216	74917.1	0.0133481	1170.58	2	
2	128	32	1920	0.043818	150	150	0	1320960	688	43817.6	0.0228219	684.65	2	
2	128	64	1920	0.109356	285	285	0	4608000	2400	17557.3	0.0569565	274.332	2	
2	128	128	1920	0.434955	549	548	1	17080320	8896	4414.25	0.226539	68.9726	2	
2	128	256	1920	1.27961	1206	1204	2	65617920	34176	1500.45	0.666466	23.4446	2	
2	128	512	1920	2.00584	2340	2337	3	257064960	133888	957.207	1.04471	14.9564	2	
2	128	1024	1920	7.37153	4734	4726	8	1017446400	529920	260.461	3.83934	4.06971	2	
2	128	2048	1920	28.684	9545	9525	20	4048158720	2.10842e+06	66.9363	14.9396	1.04588	2	
4	1	1	1920	0.0379455	121	121	0	11520	6	50598.8	0.0197633	790.607	4	
4	1	2	1920	0.0480428	174	169	5	24960	13	39964.3	0.0250223	624.443	4	
4	1	4	1920	0.045585	420	393	27	57600	30	42119.1	0.0237422	658.111	4	
4	1	8	1920	0.0566141	1167	1017	150	145920	76	33913.8	0.0294865	529.904	4	
4	1	16	1920	0.059652	2959	2030	929	414720	216	32186.7	0.0310688	502.917	4	
4	1	32	1920	0.0588537	9410	5231	4179	1320960	688	32623.2	0.030653	509.738	4	
4	1	64	1920	0.0779316	38810	15780	23030	4608000	2400	24637	0.0405894	384.953	4	
4	1	128	1920	0.205302	159096	45079	114017	17080320	8896	9352.09	0.106928	146.126	4	
4	1	256	1920	0.834598	738055	165522	572533	65617920	34176	2300.51	0.434686	35.9455	4	
4	1	512	1920	2.40003	2966367	408870	2557497	257064960	133888	799.991	1.25001	12.4999	4	
4	1	1024	1920	9.12196	9233455	935493	8297962	1017446400	529920	210.481	4.75102	3.28877	4	
4	1	2048	1920	35.2176	29565317	2267644	27297673	4048158720	2.10842e+06	54.5182	18.3425	0.851846	4	
4	2	1	1920	0.0703474	72	72	0	11520	6	27293.1	0.0366393	426.455	4	
4	2	2	1920	0.0522654	121	120	1	24960	13	36735.6	0.0272215	573.994	4	
4	2	4	1920	0.0490345	298	297	1	57600	30	39156.1	0.0255388	611.814	4	
4	2	8	1920	0.0916187	658	624	34	145920	76	20956.4	0.0477181	327.444	4	
